2535,"AUCHAN CITY IASI","Str Palas nr. 5C",47.155177,27.588764,""
8751,"AUCHAN ROSETTI","",44.44208828,26.10419432,""
2550,"AUCHAN TITAN","Bd.1 Decembrie 1918 nr. 33A sector 3",44.420452,26.179898,""
3330,Aiud/Transilvaniei,"Str. Transilvaniei, nr. 99-101-103",46.316812,23.7219,""
7234,"Alba Iulia 2/ jud Alba","Str. Tudor Vladimirescu, nr. 10",46.074694,23.580092,""
7293,"Alba Iulia 3/ jud Alba","Str. Motilor, nr. 116",46.080228,23.565178,""
11260,"Alba Iulia Republicii 20","B-dul Republicii, nr. 20, Bl. D1A",46.0803,23.5727,""
3203,"Alba Iulia/Lalelelor","Str. Lalelelor, nr. 57",46.064186,23.554476,""
7968,Arad,"Str.Prof.Dr.Aurel Ardelean, Nr 28",46.17108375,21.2909749,""
10829,"Arad Iuliu Maniu 17","str Iuliu Maniu , nr 17",46.1823,21.327,""
3174,"Arad/Aurel Vlaicu","Calea A. Vlaicu, nr. 139-151",46.19685,21.297717,""
3268,"Arad/Aurel Vlaicu","Calea Aurel Vlaicu, nr. 41-43",46.189151,21.32077,""
3328,"Arad/Banu Maracine","Str. Banu Mărăcine, nr. 6",46.185196,21.314824,""
11657,"Arad/Ticu Dumitrescu","Str. Constantin Ticu Dumitrescu, nr. 60",46.14297876,21.31074323,""
3168,Arad/Timisorii,"Str. Timişorii, nr. 1-3",46.1577,21.322217,""
8132,Arges,"Calea Dragasani, nr. 20",44.845562,24.853853,""
1668,"B-dul  Nicolae Balcescu, 158 A","Str. Nicolae Balcescu, Nr. 158A",44.878657,24.843035,""
1560,"B-dul Ferdinand, 85","Bdul Ferdinand, Nr. 85",46.05719421,23.57581962,""
7079,Bacau,"Str. Abatorului, nr. 5",46.572975,26.885454,""
8293,"Bacau 7","Str. Stefan cel Mare, nr 32",46.58128396,26.91429206,""
3298,"Bacau/Ion Luca Caragiale","Str. I. L. Caragiale, nr. 6",46.564483,26.92335,""
3299,Bacau/Mioritei,"Str. Mioriţei, nr. 41",46.5694,26.894567,""
3195,"Bacau/Vadul Bistritei","Str. Vadul Bistriţei, nr. 15",46.572583,26.92005,""
11069,"Bascov/Paisesti DN","Str. Paisesti DN, nr. 131",44.89015797,24.82170061,""
10864,"BdL. Cetatii, nr 71-75","BdL. Cetatii, nr 71-75",45.7675268,21.2156903,""
7299,Braila,"Calea Calarasilor, nr 333A",45.23967,27.94736,""
3294,"Braila/Calea Dorobantilor 3D","Calea Dorobantilor, nr. 3D",45.256525,27.960676,""
7737,"Brasov Grivitei","Bulevardul Grivitei 47, BL. 32 B, B",45.6578,25.5977,""
3217,"Brasov/A.I. Cuza","Str. Al. Ioan Cuza, nr. 3",45.649668,25.597288,""
3139,Brasov/Turnului,"Str. Turnului, nr. 1",45.665369,25.609879,""
7212,"Brașov 8","Str. Grivitei, Nr. 2F",45.672819,25.589447,""
7954,"Brașov/ jus Brașov","Str.Cristianului, 1-3",45.658424,25.564962,""
7739,"Bucuresti Bulevardul Unirii15","Bulevardul Unirii, nr.15, bloc 3",44.4274,26.0977,""
7731,"Bucuresti Sfanta Vineri 21a","Strada Sfanta Vineri, nr.21A,parter",44.4304,26.107,""
3292,Bucuresti/Bratarii,"Str. Bratarii, nr. 2",44.423,26.180332,""
3182,"Bucuresti/Liviu Rebreanu","Str. Liviu Rebreanu, nr. 19",44.425467,26.167917,""
